pollster,start_date,end_date,state,sample_size,respondent_type,REP,DEM,moe,spread
The Hill,2024-10-24,2024-10-29,MI,790,LV,48.0,50.0,3.4,-2.0
NY Times,2024-10-29,2024-11-02,MI,998,LV,47.0,47.0,3.45,0.0
Trafalgar Group (R),2024-11-01,2024-11-03,MI,1079,LV,48.0,47.0,2.9,1.0
InsiderAdvantage,2024-11-01,2024-11-02,MI,800,LV,47.0,47.0,3.7,0.0
MNS,2024-10-29,2024-11-02,MI,585,LV,48.0,50.0,4.0,-2.0
Atlas Intel,2024-11-01,2024-11-02,MI,1198,LV,50.0,48.0,3.0,2.0
Rasmussen Reports,2024-10-24,2024-11-01,MI,908,LV,48.0,49.0,3.0,-1.0
Marist,2024-10-27,2024-10-30,MI,1214,LV,48.0,51.0,3.5,-3.0
Washington Post,2024-10-24,2024-10-28,MI,1003,LV,46.0,47.0,3.7,-1.0
FOX News,2024-10-24,2024-10-28,MI,988,LV,49.0,49.0,3.0,0.0
USA Today,2024-10-24,2024-10-27,MI,500,LV,47.0,47.0,4.0,0.0
Morning Consult,2024-10-21,2024-10-30,MI,988,LV,48.0,49.0,3.45,-1.0
Susquehanna,2024-10-23,2024-10-27,MI,400,LV,47.0,52.0,4.9,-5.0
Quinnipiac,2024-10-17,2024-10-21,MI,1136,LV,46.0,50.0,2.9,-4.0
